Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Ambient AI,https://www.linkedin.com/in/shikharshrestha,https://ambient.ai/,Seed,"Oct 30, 2023",,
Avaamo,https://www.linkedin.com/in/menonram,https://avaamo.ai/,Seed,"Aug 2, 2021",,
Aviatrix,https://www.linkedin.com/in/john-jendricks-b51b3670,https://aviatrix.com/,Seed,"Dec 8, 2022",,
Boomerang,https://www.linkedin.com/in/skylerlogsdon,https://es.wikipedia.org/wiki/B%C3%BAmeran,https://www.crunchbase.com/organization/boomerang-fiesta,,,
Boomerang Intelligence,https://uk.linkedin.com/in/andrew-ludlow-9a81ab9,https://pitchbook.com/profiles/company/589043-89,https://www.crunchbase.com/organization/thanks-boomerang-inc/org_similarity_overview,,,
Bounce Imaging,https://www.linkedin.com/in/franciscoaguilar,https://bounceimaging.com/,Seed,"Dec 20, 2022",,
Bumblebee Networks,https://in.linkedin.com/in/praveen-byregowda-212b3958,https://www.bumblebeenet.com/,https://www.crunchbase.com/organization/bumblebee-data-inc,,,
Captiv8,https://www.linkedin.com/in/ksub15,https://captiv8.io/,Seed,"Jan 1, 2020",,
Cequence,https://www.linkedin.com/in/ameya-talwalkar-910b8,https://www.cequence.ai/,Seed,"Apr 19, 2023",,
Chronos Health,https://www.linkedin.com/in/anandparikh,https://www.chronushealth.com/,Seed,"Jan 2, 2024",,
Compute.ai,https://www.linkedin.com/in/vikramjoshi,https://compute.ai/learn/,https://news.crunchbase.com/ai/ai-compute-startup-lambda-unicorn-nvda/,,,
Convai,https://www.linkedin.com/in/miprashant,https://convai.com/,Seed,Seed,,
DuploCloud,https://www.linkedin.com/in/venkat-thiruvengadam-35a7396,https://duplocloud.com/,Seed,"Nov 29, 2023",,
Eridan,https://www.linkedin.com/in/doug-kirkpatrick-579332a,https://mspaintadventures-en-espanol.fandom.com/es/wiki/Eridan_Ampora,Series a,"May 12, 2022",,
Everclear (f/k/a Connext),,https://montavc.com/portfolio/connext/,,"May 12, 2022",,
FirstShift.ai,https://www.linkedin.com/in/hjmenon,https://www.firstshift.ai/,https://www.crunchbase.com/organization/firstshift,,,
Fortella,https://www.linkedin.com/in/qiyun-wu-00984476,https://www.instagram.com/fortellaofficial/?hl=es,Seed,Seed,,
GoDomo,https://om.linkedin.com/in/mohammed-alshanfari-22b586269,https://play.google.com/store/apps/developer?id=GODOMO&hl=es_419,,Seed,,
KlearNow.AI,https://www.linkedin.com/in/samtyagi,https://www.klearnow.ai/,Series a,"Dec 13, 2021",,
Lightbeam,https://www.linkedin.com/in/himanshushukla-us,https://chrome.google.com/webstore/detail/thunderbeam-lightbeam-for/hjkajeglckopdkbggdiajobpilgccgnj?hl=es,Seed,"Feb 1, 2024",,
Minds.ai,https://www.linkedin.com/in/itzik-gilboa,https://minds.ai/,Seed,"Oct 10, 2023",,
Motorq,https://www.linkedin.com/in/arunr1,https://motorq.com/,https://www.crunchbase.com/organization/motora-technologies/org_similarity_overview,,,
newtrul,https://www.linkedin.com/in/ed-stockman-a418027a,https://www.newtrul.com/,Seed,"Jan 1, 2023",,
Nyansa,https://za.linkedin.com/in/ashleyrix,https://www.linkedin.com/company/nyansa-inc.,Series a,"Jan 15, 2018",,
Omni Design,https://sg.linkedin.com/in/shawn-song-38272282,https://www.omnidesigntech.com/,https://www.crunchbase.com/organization/omni-design,,,
Ovation,https://www.linkedin.com/in/jeffmarshall2,https://www.llantar.com.co/collections/ovation,Seed,"Dec 16, 2020",,
PatternEx,https://in.linkedin.com/in/cskvarma,https://es.linkedin.com/company/patternex,Series a,"Aug 1, 2018",,
Robin,https://mx.linkedin.com/in/rogelio-valdes-3701a9119,https://es.wikipedia.org/wiki/Robin_(DC_Comics),Seed,"Sep 20, 2022",,
SafeAI,https://www.linkedin.com/in/bibhrajit,https://www.safeai.ai/,Seed,"Dec 14, 2022",,
SoftWear Automation,https://www.linkedin.com/in/pvrajan,https://softwearautomation.com/,Series a,"Dec 1, 2019",,
Spatial,https://www.linkedin.com/in/leejinha,https://www.spatial.io/,Seed,"Dec 14, 2021",,
StrikeReady,https://pk.linkedin.com/in/muhammadahsanpakistan,https://strikeready.com/,Seed,"Apr 9, 2024",,
Tatari,https://www.linkedin.com/in/inghelbrecht,https://visortmo.com/library/manga/76770/tatari,https://www.crunchbase.com/organization/tatari,,,
Tekion,https://www.linkedin.com/in/jayvijayan,https://tekion.com/,Seed,"Jul 16, 2024",,
The Modern Data Company,https://www.linkedin.com/in/anismiles,https://themoderndatacompany.com/,https://www.crunchbase.com/organization/the-modern-data-company,,,
ThirdLove,https://www.linkedin.com/in/raelelizabethcohen,https://www.thirdlove.com/?srsltid=AfmBOor1VX_4ZbkILvV1oSUaP3ye22CaHgsS8OTAOjN_XG9yeGchy8xL,Seed,"Aug 17, 2023",,
Track3D,https://www.linkedin.com/in/chaitanyanaredla,https://track3d.ai/,Seed,"Sep 10, 2024",,
Tribyl,https://www.linkedin.com/in/somanisanjeev,https://tribyl.com/,https://www.crunchbase.com/organization/tribyl,,,
Uhnder,https://www.linkedin.com/in/manju-hegde-80b7141b,https://www.uhnder.com/,Series a,"Feb 20, 2024",,
XY Retail,https://www.linkedin.com/in/susanjeffers,https://www.xyretail.com/,Seed,Seed,,
